id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share
3524,Biking,71303.93,39357.0,1501,127.67661488143908,178,63,193.60384336296553,249.8000030517578,181.39999389648438,192.6000213623047,190.80001831054688,,5,196.74000091552733,6.4,0.10580971788600488,0.0014839254706718813
3525,Biking,120580.98,18982.0,2262,143.17027432490354,190,97,167.10220748855482,383.79998779296875,-6.0,1887.6000370830297,1917.400038704276,,18,203.1944453318914,40.46666717529297,0.12012398540443678,0.000996210060694786
3526,Biking,73147.03,11154.0,1547,152.9870474925274,192,104,184.28389237529612,263.3999938964844,157.60000610351562,506.4002380371094,439.4002380371094,11916,14,186.42142813546317,6.742856706891741,0.44078776676457965,0.006026051457790968
3527,Biking,41072.45,6668.0,747,137.64447463768116,179,98,202.4432967780293,284.6000061035156,164.1999969482422,349.00001525878906,342.8000030517578,,4,221.97500228881836,27.70000457763672,0.09850593078997558,0.0023983456255951517
3528,Biking,103092.04000000001,12763.0,1643,146.22911160805043,196,107,220.6170763921922,321.0,168.0,651.9999542236328,654.199951171875,,12,224.89166577657065,17.08333460489909,0.5160801750929973,0.005006013801773612
3529,Biking,106682.94,13536.0,1515,132.484499887951,179,88,205.36711696329257,320.20001220703125,152.39999389648438,865.5999755859375,859.7999725341797,14727,14,240.07857022966658,16.08571297781808,0.16785330808689228,0.001573384723807689
3530,Biking,77139.62,12631.0,1622,152.89912771192127,193,90,214.12555926734578,285.79998779296875,171.60000610351562,812.7999420166016,816.1999359130859,,9,247.98889329698352,12.022223578559029,0.233675095351526,0.0030292487226606254
3531,Biking,6342.49,56644.0,31,,,,177.94851998771009,184.8000030517578,168.0,39.800018310546875,41.800018310546875,,2,182.0,0.100006103515625,0.006147866818206021,0.0009693143888608451
3532,Biking,519.18,2451.0,309,141.28859060402684,184,117,291.99333333333334,292.0,291.0,1.0,0,,1,291.5,1.0,0.0,0.0
3533,Biking,154001.06,15562.0,2070,150.3642444088344,185,82,401.38761010245986,427.20001220703125,372.3999938964844,1082.0000305175781,1074.0000305175781,16211,26,410.86923335148737,3.261536818284255,0.18484848451589272,0.0012003065726683487
3534,Biking,62915.23999999999,20608.0,2032,,,,232.57399936757378,313.6000061035156,99.0,551.8000183105469,494.2000198364258,9064,9,228.22221925523547,25.333333333333332,0.2954071598207614,0.004695319604928177
3535,Biking,97977.1,8888.0,3264,,,,110.99341971975707,151.1999969482422,94.0,356.5999984741211,358.4000015258789,19,8,111.2874984741211,8.449999809265137,0.3495118524222023,0.003567281052635792
3536,Biking,22329.81,3568.0,442,128.12110311750598,166,101,222.32301870295757,225.0,220.1999969482422,5.600006103515625,4.8000030517578125,,1,223.79999542236328,0.8000030517578125,0.0073067990459545745,0.0003272217294260262
3537,Biking,74636.67,9292.0,1373,151.17078885706846,184,99,236.6290548811726,336.20001220703125,175.1999969482422,798.6002197265625,861.8002319335938,11898,18,232.17777845594617,11.777777777777779,0.4144054104383744,0.005552303049404193
3538,Biking,50273.24,5750.0,773,137.7115127175368,171,114,175.86452374847698,189.39999389648438,161.60000610351562,62.59999084472656,58.79998779296875,8553,2,176.84999465942383,1.9000015258789062,0.04805730620078989,0.0009559222003751875
3539,Biking,49670.94,6358.0,989,152.47497177267596,190,104,208.06586365848725,274.6000061035156,168.60000610351562,624.5999450683594,623.199951171875,8212,14,206.9357147216797,8.942856924874443,0.5870804958621182,0.011819395724383678
3540,Biking,18524.08,19793.0,262,,,,170.89346232744882,212.8000030517578,128.0,89.0,19.0,2553,1,163.1999969482422,70.0,0.00624917606741983,0.0003373541934293001
3541,Biking,374.05999999999995,5032.0,977,157.72972972972974,192,116,281.26780974367034,287.79998779296875,273.20001220703125,16.5999755859375,2.0,,1,280.5,14.5999755859375,0.003869104417696295,0.010343539586420081
3542,Biking,66540.51,9590.0,1109,135.63029556650247,185,96,207.47793031889816,285.20001220703125,165.39999389648438,690.8000640869141,695.4000549316406,,8,232.51249980926514,13.675003051757812,0.29494104047327874,0.0044325034550122735
3543,Biking,29437.6,3484.0,550,138.7624872579001,168,111,180.21671765684232,190.60000610351562,174.60000610351562,173.59999084472656,176.59999084472656,,7,181.32857186453683,1.6571437290736608,0.21643369423436903,0.00735228735475613
3544,Biking,99013.18,11935.0,1528,150.27728295977292,195,103,239.02251179913455,339.79998779296875,181.8000030517578,845.7999420166016,842.1999359130859,11692,12,286.11666742960614,18.75,0.09603393507635755,0.0009699106227712064
3545,Biking,361.76,3480.0,354,123.32372505543238,174,96,156.95653829976354,157.1999969482422,155.0,2.1999969482421875,0,,1,156.0999984741211,2.1999969482421875,0.0013185385395566185,0.0036447880903267877
3546,Biking,126443.82,18372.0,2374,148.84515348555874,195,101,136.2563134387674,300.20001220703125,68.80000305175781,912.6000289916992,818.6000289916992,,11,147.0363630814986,28.436363913796164,0.405183116958103,0.003204451723762403
3547,Biking,54492.96,8233.0,900,132.1274455002795,168,86,260.72968123784074,346.0,174.60000610351562,927.3999328613281,877.9999237060547,4812,19,262.82631522730776,14.431578786749588,0.8032177088689949,0.014739843621432842
3548,Biking,31975.87,618811.0,643,132.20107033639144,172,101,122.64705000630666,182.0,102.0,137.79999542236328,57.99999237060547,,2,137.24999618530273,39.900001525878906,0.014996814063341772,0.0004690040978819895
3549,Biking,82163.03,13514.0,1526,155.34666190646197,204,106,190.80000078009945,219.8000030517578,168.8000030517578,163.20001220703125,167.00001525878906,,4,199.72500038146973,10.349998474121094,0.11182726495496839,0.0013610411514152826
3550,Biking,25451.85,2258.0,747,,,,292.70097196995243,295.0,290.3999938964844,39.999969482421875,40.999969482421875,2803,2,292.84999084472656,0.0,0.14193812816731244,0.005576731285439464
3551,Biking,15538.26,4174.0,568,147.99543378995435,177,105,126.70022840804705,168.1999969482422,103.4000015258789,75.5999984741211,22.800003051757812,,1,141.79999923706055,52.79999542236328,0.0012953145410129006,8.336290813854965e-05
3552,Biking,69374.02,9463.0,1256,149.1919577340769,180,106,189.45353236627594,302.6000061035156,143.8000030517578,390.20005798339844,405.6000518798828,,8,200.48750114440918,15.000003814697266,0.21289208456096365,0.0030687580820740047
3553,Biking,79576.53,9927.0,1361,152.65490970654628,190,97,244.0589164794164,415.6000061035156,177.0,832.6001434326172,835.2001495361328,,18,242.30555386013455,12.855555216471354,0.2364733078875231,0.0029716463872893565
3554,Biking,85053.37,12241.0,1582,149.11601622874807,194,91,257.628420001802,371.0,184.39999389648438,657.0000762939453,649.4000701904297,11093,11,294.60000055486506,14.96363691850142,0.11600179017785398,0.0013638705929918352
3555,Biking,45638.03999999999,8722.0,964,144.79342359767892,187,109,193.05787243132895,288.79998779296875,110.4000015258789,436.59998321533203,422.1999816894531,7485,5,224.68000411987305,34.91999969482422,0.08870872960206351,0.001943745384378109
3556,Biking,34294.41,4532.0,673,137.1090146750524,184,105,132.18169066124577,154.1999969482422,113.80000305175781,74.99999237060547,65.19998931884766,,2,129.24999618530273,12.599998474121094,0.036750180614970936,0.0010716084812355986
3557,Biking,96585.82,12000.0,1436,135.03804894401608,185,96,245.65534698583517,399.6000061035156,134.0,771.1999206542969,830.9999237060547,14263,13,292.37691967303937,15.64615455040565,0.2886186691711151,0.0029882095443318187
3558,Biking,32695.22,3901.0,1040,,,,239.9014606037817,245.39999389648438,231.8000030517578,54.999969482421875,52.999969482421875,,2,241.29999542236328,2.4000015258789062,0.07788930540754811,0.002382284181221234
3559,Biking,66747.54000000001,9179.0,1400,152.25475901174565,202,106,188.52920221365045,196.0,172.0,305.00010681152344,309.00010681152344,12086,11,185.74545426802203,2.2909102006392046,0.4974439889826033,0.007452619062554263
3560,Biking,91521.62,15728.0,1494,139.88390501319262,189,86,255.71103797046993,343.6000061035156,211.0,698.9999694824219,677.5999450683594,,12,264.2749989827474,16.083335876464844,0.12899163158347587,0.0014094115858468838
3561,Biking,97621.6,10885.0,1379,142.04386138613862,187,101,209.09784286139674,321.0,184.8000030517578,256.2000274658203,247.60003662109375,13185,4,234.5750026702881,31.0,0.03135573830546825,0.0003211967259855221
3562,Biking,22388.87,2836.0,762,,,,204.93569044886786,270.6000061035156,184.39999389648438,112.19999694824219,41.79998779296875,,2,242.79999923706055,40.80000305175781,0.0598814036621134,0.002674605894005075
