id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share,number_of_intervalsPower,min_durationPower,max_durationPower,avg_durationPower,min_distancePower,max_distancePower,avg_distancePower,number_of_intervalsHeart,min_duration_intervalHeart,max_duration_intervalHeart,avg_duration_intervalHeart,min_distance_intervalHeart,max_distance_intervalHeart,avg_distance_intervalHeart,min_heartrate_intervalHeart,max_heartrate_intervalHeart,avg_heartrate_intervalHeart,caloriesNormalized
1969,Running,11720.259999999998,5571.0,633,146.76222435282838,176,92,413.6655799521925,417.3999938964844,409.6000061035156,95.1998291015625,89.39981079101562,,3,413.56666564941406,1.9333394368489585,0.0229432621223512,0.0019575727946608,15,0.0,305.0,142.4,0.0,1466.8600463867188,666.6006486256917,5,205.0,1302.0,478.6,989.81005859375,2347.0703125,1485.1481689453126,155.08860759493672,167.22340425531914,162.54146858582513,0.2676595744680851
1974,Running,7392.61,1804.0,492,142.18212478920742,160,89,337.0192238613084,352.0,322.6000061035156,95.00009155273438,91.60006713867188,,3,336.90000406901044,3.4000040690104165,0.0176145418134949,0.0023827229914056,12,2.0,268.0,79.91666666666667,7.80029296875,1045.400146484375,318.81580861409503,2,29.0,352.0,190.5,126.099853515625,1385.239990234375,755.669921875,142.5607476635514,143.5,143.0303738317757,0.2076595744680851
1976,Running,8520.18,2835.0,591,131.8695652173913,163,86,52.22934792352759,64.19999694824219,35.20000076293945,77.40000534057617,73.60000610351562,,4,55.22499990463257,1.4000005722045898,0.0299629724037536,0.0035167065019463,9,4.0,678.0,145.33333333333334,9.1494140625,2443.06005859375,514.6123046875,4,19.0,1383.0,467.0,32.310546875,5061.35986328125,1641.6351318359375,128.9718309859155,138.2439024390244,135.05277287878138,0.24978723404255318
1977,Running,18365.66,4826.0,1115,147.7254658385093,171,111,57.57329191124958,65.0,42.20000076293945,168.2000617980957,174.40006256103516,,7,56.95714269365583,0.7428567068917411,0.0885465457242268,0.0048213102999961,19,0.0,329.0,156.68421052631578,0.0,1101.650390625,630.5336492438065,6,35.0,589.0,419.1666666666667,124.05859375,2661.3800659179688,1842.919952392578,146.42857142857142,160.91189427312776,156.66348313965645,0.4727659574468085
1980,Running,16215.23,4517.0,1041,136.75107296137338,160,79,278.7592276599104,294.20001220703125,265.0,208.59991455078125,202.39993286132807,,7,276.2142835344588,2.857142857142857,0.0478554187534875,0.0029512636424822,22,0.0,312.0,105.1818181818182,0.0,1054.85986328125,365.0568134134466,2,473.0,3384.0,1928.5,1726.830078125,12147.680053710938,6937.255065917969,138.10581506196377,142.36363636363637,140.23472571280007,0.44127659574468087
1982,Running,317.85,139.0,31,125.34042553191487,129,123,292.0595755069814,296.20001220703125,291.0,1.800018310546875,6.60003662109375,,1,293.8000030517578,0.0,0.0022491414849294,0.0070761097528062,2,3.0,43.0,23.0,7.32000732421875,96.6500015258789,51.98500442504883,2,1.0,41.0,21.0,2.100006103515625,96.95000338554382,49.52500474452973,126.0,127.0,126.5,0.01148936170212766
1984,Running,11486.36,3199.0,728,137.8643649815043,162,81,291.61528953994394,295.20001220703125,285.79998779296875,104.19989013671876,102.39990234375,,4,291.625,0.649993896484375,0.0323431888918228,0.0028157909809393,15,0.0,819.0,125.4,0.0,3604.73046875,505.5387034098307,3,15.0,1595.0,659.0,56.51953125,6453.25,2633.1797688802085,135.9157894736842,146.19955654101994,140.81622644934586,0.3080851063829787
1986,Running,8306.49,2423.0,723,148.0193548387097,169,85,295.8212901946037,323.0,288.79998779296875,83.80014038085938,109.00015258789062,,4,299.25,1.3499984741210938,0.025075667102274,0.0030188042244406,13,0.0,330.0,115.07692307692308,0.0,1235.3896484375,396.65157655569226,2,606.0,1412.0,1009.0,2232.27001953125,4697.700073242188,3464.9850463867188,146.0,159.32124352331607,152.66062176165804,0.3059574468085106
1989,Running,10546.83,3028.0,735,132.47353361945636,143,69,290.32417749233,292.79998779296875,280.3999938964844,51.59991455078125,40.59991455078125,,2,288.84999084472656,5.699996948242188,0.0088085991653513,0.0008351892621149,16,0.0,309.0,111.1875,0.0,1094.7099609375,390.5031223297119,2,25.0,2209.0,1117.0,86.0595703125,7656.569580078125,3871.314575195313,134.1442885771543,135.44444444444446,134.79436651079936,0.31106382978723407
1991,Running,11328.36,3780.0,777,144.414,170,106,169.85340014648438,177.0,164.8000030517578,86.99996948242188,83.59996032714844,,3,169.3000005086263,2.133336385091146,0.0072341417295405,0.0006385868501301,14,5.0,266.0,138.78571428571428,15.7197265625,946.489990234375,479.7877337591989,3,359.0,617.0,524.0,1454.8798828125,2646.7197265625,2195.3865356445312,161.1304347826087,163.40404040404042,162.54892488396325,0.32893617021276594
1996,Running,27600.3,8455.0,1495,138.52570828961174,166,70,338.45876181763595,446.6000061035156,271.79998779296875,487.6001281738281,475.4001159667969,,9,359.7888827853733,16.177778455946182,0.0785061659018765,0.0028443953834515,25,0.0,874.0,132.08,0.0,1719.5400390625,366.7191905975342,4,118.0,3496.0,1763.25,420.23046875,11071.53012084961,5659.887168884277,136.26629680998613,151.27027027027026,142.90131621699123,0.634468085106383
1997,Running,5977.1900000000005,1774.0,376,129.23653846153846,143,93,611.0100002582257,637.7999877929688,586.7999877929688,120.399658203125,102.7996826171875,,4,606.75,10.349990844726562,0.0236005256482025,0.003948431562022,9,0.0,221.0,88.44444444444444,0.0,769.919921875,302.7422213024563,3,23.0,522.0,272.3333333333333,90.72021484375,1796.1799926757812,930.8333536783854,130.16666666666666,131.3939393939394,130.9011544011544,0.15829787234042553
1998,Running,8741.15,2456.0,518,134.5414110429448,164,77,260.1438656906409,265.3999938964844,248.6000061035156,57.00030517578125,44.60031127929688,,2,258.5999984741211,6.899993896484375,0.0060766686704338,0.0006951795439311,13,2.0,231.0,125.92307692307692,4.8203125,840.5498046875,447.8723707932692,2,19.0,1202.0,610.5,72.6201171875,4083.30029296875,2077.960205078125,129.1590909090909,135.2,132.17954545454546,0.21872340425531914
1999,Running,21574.77,5582.0,1384,145.1058370750481,157,92,290.64733806460845,315.79998779296875,279.3999938964844,147.6002197265625,168.40020751953125,,5,292.1600036621094,2.920001220703125,0.0385684666128777,0.0017876652503307,20,0.0,816.0,215.15,0.0,3369.708984375,857.877285194397,2,152.0,4678.0,2415.0,610.099609375,18330.92944335937,9470.514526367188,146.4318181818182,153.86666666666667,150.14924242424243,0.5872340425531914
2005,Running,16268.91,4522.0,918,128.96188747731398,143,68,327.0464611849638,334.20001220703125,318.79998779296875,84.20016479492188,79.20016479492188,,3,326.90000406901044,2.0,0.0209464630698613,0.0012875148408751,22,0.0,537.0,131.0,0.0,1944.990234375,472.6880895441229,2,35.0,3681.0,1858.0,130.220703125,13288.210327148438,6709.215515136719,130.5712682379349,130.8181818181818,130.69472502805837,0.38893617021276594
2006,Running,12556.58,3694.0,843,128.86301369863014,149,78,446.2741682198183,454.3999938964844,440.3999938964844,133.99984741210938,134.599853515625,,5,447.3399993896484,1.6800048828125,0.0217276514953418,0.0017303797288228,19,0.0,192.0,79.57894736842105,0.0,588.1599855422974,260.1493793788709,2,1030.0,1116.0,1073.0,3671.89013671875,3970.4501953125,3821.170166015625,137.70188679245285,138.84246575342465,138.27217627293874,0.3570212765957447
2008,Running,11150.05,3042.0,766,128.56712328767122,143,72,43.651232800418384,47.59999847412109,33.79999923706055,65.79998397827148,60.99998474121094,,2,39.99999904632568,5.0,0.0047227743117973,0.0004235653034557,15,0.0,345.0,134.4,0.0,1302.75,491.73465185165406,2,270.0,1148.0,709.0,1013.72021484375,4259.169921875,2636.445068359375,129.0719696969697,135.66666666666666,132.3693181818182,0.3242553191489362
2009,Running,6253.530000000001,1776.0,472,145.21315192743765,165,113,243.86848048342057,246.6000061035156,241.1999969482422,35.00001525878906,37.00001525878906,,2,243.6999969482422,0.8000030517578125,0.0392141764148742,0.0062707265200413,11,0.0,283.0,100.1818181818182,0.0,1174.619873046875,369.83177800612015,1,611.0,611.0,611.0,2459.4998779296875,2459.4998779296875,2459.4998779296875,158.85945945945946,158.85945945945946,158.85945945945946,0.19914893617021276
2010,Running,2427.6,601.0,158,137.78048780487805,160,93,424.8809768304593,428.6000061035156,422.3999938964844,16.0001220703125,16.600128173828125,,1,423.90000915527344,0.0,0.0018764463928763,0.0007729635824997,5,0.0,259.0,84.0,0.0,1126.9800090789795,348.4920223236084,2,21.0,340.0,180.5,86.510009765625,1435.3999633789062,760.9549865722656,140.625,147.30088495575222,143.9629424778761,0.06553191489361702
2012,Running,18229.160000000003,4977.0,1191,148.92461340206185,181,110,334.49755161324725,358.0,325.79998779296875,142.79986572265625,146.59988403320312,,6,333.4833246866862,1.0666656494140625,0.063029217534935,0.003457604054983,21,0.0,503.0,150.61904761904762,0.0,2130.5693359375,574.5418989090692,6,62.0,999.0,475.0,243.0,3940.10986328125,1894.5949177742004,151.47330960854092,168.00833333333333,158.51196206442185,0.5051063829787235
2014,Running,9527.14,2857.0,702,139.38782051282053,166,112,294.81987248934234,299.3999938964844,290.20001220703125,46.199981689453125,39.399993896484375,,2,296.40000915527344,3.5,0.0100581670654624,0.0010557383501725,15,0.0,470.0,111.86666666666666,0.0,1698.419921875,397.6580407460531,2,24.0,2484.0,1254.0,82.7109375,8397.3896484375,4240.05029296875,140.62260536398466,140.83333333333334,140.727969348659,0.2970212765957447
2016,Running,3612.56,995.0,252,142.01509433962264,165,107,89.19169803835311,91.5999984741211,87.80000305175781,20.80000305175781,20.0,,1,90.5999984741211,0.8000030517578125,0.0028898298840973,0.0007999396228982,7,0.0,200.0,106.14285714285714,0.0,810.52001953125,399.1600034577506,1,455.0,455.0,455.0,1828.7598876953125,1828.7598876953125,1828.7598876953125,154.4108527131783,154.4108527131783,154.4108527131783,0.10553191489361702
