id,activity_type,distance,duration,calories,hr_avg,hr_max,hr_min,altitude_avg,altitude_max,altitude_min,ascent,descent,steps,num_hills,avg_altitude,avg_ascent,distance_hills,hills_share,number_of_intervalsPower,min_durationPower,max_durationPower,avg_durationPower,min_distancePower,max_distancePower,avg_distancePower,number_of_intervalsHeart,min_duration_intervalHeart,max_duration_intervalHeart,avg_duration_intervalHeart,min_distance_intervalHeart,max_distance_intervalHeart,avg_distance_intervalHeart,min_heartrate_intervalHeart,max_heartrate_intervalHeart,avg_heartrate_intervalHeart
603,Other,7761.83,8474.0,646,123.33502452223914,157,94,899.926737157782,1183.199951171875,512.0,575.7998657226562,804.599853515625,,6,832.4999949137369,69.16666666666667,0.010337836322587765,0.001331881311828237,14,0.0,929.0,224.64285714285714,0.0,899.280029296875,257.31638990129744,6,110.0,1136.0,526.3333333333334,169.83984375,1028.1201171875,580.0883636474609,117.32692307692308,144.1315789473684,129.87395902509664
629,Other,8737.619999999999,5360.0,531,127.36741214057508,165,81,1343.7452007755437,1362.0,1336.0,367.000732421875,375.4007568359375,,11,1341.7454334605825,1.8545587713068181,0.022819726653912388,0.0026116638917591277,24,0.0,140.0,76.0,0.0,446.7001953125,198.7791359424591,15,35.0,1786.0,245.33333333333334,66.16015625,2397.399971008301,470.7460006713867,127.82317073170732,142.8646408839779,135.9355540719096
649,Other,3574.96,6736.0,253,94.14661310936644,147,65,896.5965314178718,997.2000122070312,795.4000244140625,270.20062255859375,252.400634765625,,3,888.9666849772135,56.26666259765625,0.002368001762372713,0.0006623855266556026,21,0.0,848.0,191.14285714285714,0.0,522.2099609375,115.35288998626527,7,36.0,1850.0,564.0,19.949951171875,1103.0800170898438,327.5670922824315,92.88888888888889,104.86666666666666,98.94781811006955
660,Other,12398.97,13229.0,1150,126.01921005385996,167,75,1241.9039317048703,1517.5999755859375,793.0,935.5986328125,947.5986328125,,9,1303.0444675021702,75.68889702690973,0.008046248369229365,0.0006489449018127607,29,0.0,1792.0,279.55172413793105,0.0,1173.6300659179688,238.6772849066504,15,49.0,1979.0,489.06666666666666,50.169921875,1466.6201171875,575.341971842448,119.39943342776203,142.025,132.65763095733007
697,Other,3229.8599999999997,2102.0,168,106.04228028503563,126,84,585.9561044724707,817.7999877929688,408.0,0,409.79998779296875,,2,709.4499969482422,0.0,0.0035149250233512818,0.0010882592506645124,7,0.0,417.0,158.57142857142858,0.0,696.3699951171875,251.07430703299386,2,3.0,994.0,498.5,4.9300537109375,1465.02001953125,734.9750366210938,107.0,112.71959798994975,109.85979899497488
707,Other,11001.48,10554.0,1179,137.18122195374525,186,75,1090.0479176944498,1614.5999755859375,550.5999755859375,1127.2005615234375,1127.8005981445312,,3,1225.6333312988281,351.06667073567706,0.003703858614666775,0.00033666912221508153,10,0.0,2807.0,503.8,0.0,2798.690185546875,585.1230830073357,4,6.0,2776.0,919.0,7.6708984375,2752.449951171875,944.5626831054688,138.14285714285714,169.84047533309325,152.47110463859985
721,Other,11489.05,3637.0,682,151.51260038770423,178,93,1354.558418518945,1383.199951171875,1336.4000244140625,447.5989990234375,443.3990478515625,,11,1353.9727228338068,6.127274946732954,0.028240671083772404,0.0024580510210828925,21,0.0,417.0,109.57142857142857,0.0,1315.639892578125,348.68851365361894,8,38.0,1057.0,334.625,121.8193359375,3937.97998046875,1188.1549444198608,154.98159509202455,162.57277882797732,158.73407381409132
733,Other,8256.22,8476.0,671,138.07271528998243,176,72,1035.1457814516627,1547.4000244140625,563.0,998.5999755859375,1006.5999755859375,,3,887.933349609375,318.933349609375,0.00852525150858012,0.001032585312477153,8,0.0,2774.0,637.125,0.0,2051.919921875,470.87873673439026,8,65.0,1710.0,538.875,20.849853515625,2679.03955078125,686.5511016845703,136.99055793991417,163.45060483870967,146.41171816153613
740,Other,6023.73,7489.0,793,142.11867544220485,177,87,1244.4929653906813,1509.4000244140625,1017.2000122070312,544.600830078125,535.600830078125,,3,1184.5,161.33333333333334,0.004375982343290429,0.0007264572521162849,8,0.0,1777.0,485.5,0.0,1414.60009765625,456.382529258728,6,37.0,1680.0,435.6666666666667,56.730010986328125,1359.9599609375,405.8566538492839,145.10526315789474,166.0990990990991,153.78222919422373
747,Other,10581.54,6387.0,721,136.0690502183406,181,84,882.2382645919333,1191.0,578.4000244140625,653.999755859375,614.7998046875,,3,959.8000081380209,191.66666666666666,0.0021907311436067606,0.00020703329984168284,12,0.0,925.0,309.25,0.0,1268.26025390625,403.0090913772583,5,47.0,868.0,492.0,42.55000305175781,1199.719970703125,695.6300201416016,139.6315789473684,169.1457399103139,156.0799127591662
758,Other,15408.52,11634.0,997,109.9091868131868,156,69,1005.6772393543956,1529.0,514.7999877929688,1062.4000244140625,1077.2000122070312,,3,1143.8000183105469,327.7333577473958,0.0022480873543816635,0.00014589898019937432,11,0.0,3374.0,540.5454545454545,0.0,4182.1201171875,687.9999981143258,6,6.0,5043.0,919.6666666666666,10.7802734375,6331.940185546875,1150.7933464050293,110.0,131.13937351308485,119.71346815517448
775,Other,11235.05,8429.0,929,125.86378528225806,162,87,1159.4792339032697,1547.800048828125,696.4000244140625,887.4000854492188,892.800048828125,,2,1117.5500030517578,417.1000061035156,0.002347843291220124,0.00020897488584564592,11,0.0,2680.0,441.6363636363636,0.0,3130.330078125,526.6228915127841,7,35.0,3172.0,663.4285714285714,51.47998046875,3445.1102294921875,753.7842581612723,127.38888888888889,147.27941176470588,137.4754150943487
795,Other,8293.18,5106.0,309,108.99113649793185,144,73,744.5877877175867,953.0,456.79998779296875,521.8002319335938,477.6002197265625,,3,640.499989827474,161.66666666666666,0.005807341411860321,0.0007002550784934513,5,0.0,1627.0,561.6,0.0,2720.489882826805,852.830105471611,3,138.0,1974.0,934.3333333333334,398.64990234375,3115.9400024414062,1449.3865763346355,122.86330935251799,123.5220253164557,123.21274161412803
808,Other,5680.88,8912.0,770,136.76969570654438,173,70,1291.6577749121134,1973.0,615.2000122070312,1358.0000610351562,0.2000732421875,,1,1294.1000061035156,1357.7999877929688,0.0003718618056660355,6.545848630248051e-05,14,0.0,1422.0,479.2142857142857,0.0,989.260009765625,374.6407355623586,8,77.0,1721.0,575.375,52.919921875,1109.27001953125,434.2812080383301,133.58111380145277,154.94897959183675,140.63716058922384
819,Other,8374.86,7505.0,950,132.17535153019023,171,72,1189.2395647624123,1627.5999755859375,665.0,943.39990234375,965.39990234375,,2,1131.5999755859375,450.0999755859375,0.006267681250896908,0.0007483923612928345,9,0.0,2583.0,445.3333333333333,0.0,2845.819999694824,455.95892249213324,5,4.0,3747.0,789.8,6.9697265625,3602.259963989258,770.9538970947266,132.91176470588235,152.51227976508275,138.95180064213
828,Other,6085.37,5125.0,295,96.75925138239047,135,66,734.4635898422962,937.5999755859375,500.79998779296875,407.40008544921875,462.2000732421875,,2,719.6999969482422,177.39999389648438,0.003338347998749819,0.0005485858704975735,6,0.0,1327.0,448.8333333333333,0.0,1451.6300339698792,562.6816861629486,5,3.0,1292.0,498.6,5.4599609375,1413.6199951171875,609.8180152893067,96.0625,111.49883810999225,103.609620572134
850,Other,11490.17,11339.0,1139,129.00458049379958,171,79,1093.2763991196648,1621.199951171875,551.0,1120.800048828125,1117.4000854492188,,3,1139.6333312988281,351.06667073567706,0.003178915112343827,0.0002766638885537661,8,0.0,3333.0,595.375,0.0,3876.6499218940735,712.8562036156654,5,41.0,2655.0,824.0,57.7197265625,2700.030029296875,920.2339691162109,129.5621301775148,159.26888489208633,145.6441763554272
890,Other,22764.05,19221.0,1937,129.15301152826584,163,74,1178.9789409859686,1529.5999755859375,705.7999877929688,1791.1998901367188,1784.1998901367188,,6,1261.7833353678386,246.46666463216147,0.005321945569198975,0.00023378729045134652,14,0.0,4393.0,716.5,0.0,5441.8896484375,869.2665987695966,7,1.0,4786.0,1447.142857142857,1.37890625,6075.9599609375,1772.192703792027,124.30373831775701,147.16879047420096,134.79075289670345
901,Other,11428.95,9194.0,1005,119.99645187135172,171,81,1084.0628678731834,1637.4000244140625,545.2000122070312,1141.8003540039062,1147.8003540039062,,3,1166.2667032877605,357.53334554036456,0.004231982220934436,0.000370286178602097,8,0.0,2752.0,575.125,0.0,2795.710205078125,666.7300717234612,4,19.0,2703.0,953.25,29.6103515625,2765.01025390625,1022.6725769042969,121.55,151.92418639053255,137.28852566797082
937,Other,3849.11,6259.0,132,79.61576846307385,107,54,746.3081831027886,859.7999877929688,631.5999755859375,232.60003662109375,226.0,,3,699.9666646321615,67.20001220703125,0.015212964127224289,0.003952332910003686,10,6.0,565.0,193.1,6.02001953125,466.3100128173828,158.35599060058593,3,3.0,2305.0,782.0,2.64990234375,1847.2699804902077,629.9032259186109,77.33333333333333,89.3977798334875,83.02148216671804
938,Other,11171.44,11476.0,1399,127.15012241264189,165,77,1061.9398149496085,1595.4000244140625,518.7999877929688,1139.9996337890625,1148.9996337890625,,3,1201.8333536783855,352.53334554036456,0.004657867473239347,0.00041694423218845074,12,0.0,1963.0,446.8333333333333,0.0,2055.6300659179688,493.5166550676028,5,7.0,2568.0,960.4,10.2998046875,2191.880126953125,989.8139404296875,128.375,147.96451803666469,137.43225033294237
982,Other,10793.15,8230.0,759,116.4124826629681,161,77,1117.7267356824973,1538.4000244140625,700.5999755859375,885.0001220703125,885.8001098632812,,3,1044.9333190917969,255.79998779296875,0.006489715016512474,0.000601280906548364,6,0.0,1899.0,690.3333333333334,0.0,2419.989990234375,955.9266357421875,2,104.0,4133.0,2118.5,71.599609375,5527.170211791992,2799.384910583496,125.42857142857143,134.27226463104327,129.85041802980734
991,Other,10778.43,8474.0,876,122.20318130980489,148,80,1172.5687834733878,1523.4000244140625,689.7999877929688,853.3999633789062,869.3999633789062,,2,1104.1999816894531,402.3999938964844,0.004139721184383425,0.000384074599397447,12,0.0,1873.0,433.4166666666667,0.0,2073.5299413204193,469.44422688086826,4,1.0,3110.0,1256.25,2.1904296875,3193.080078125,1320.9926586151123,123.0,135.8125,130.86237817892825
995,Other,8965.460000000001,6959.0,749,117.32862566438877,182,79,799.6801580322228,1167.5999755859375,449.20001220703125,732.5994262695312,742.3994140625,,2,802.9500274658203,346.4000244140625,0.0036571480506701563,0.0004079152715722513,6,0.0,1317.0,587.8333333333334,0.0,1712.85009765625,756.0417976776758,5,12.0,2514.0,702.8,22.06982421875,3120.9898681640625,868.9999084472656,118.46153846153847,141.1124694376528,128.1922852162019
1000,Other,23204.69,8591.0,1349,157.6756828780813,182,93,1358.3342836058514,1384.5999755859375,1336.199951171875,972.400146484375,972.2000732421875,,26,1356.3423062838042,4.2769305889423075,0.07049971153007209,0.003038166488329389,38,0.0,498.0,135.71052631578948,0.0,1431.7299499511719,412.42319493544727,12,35.0,2365.0,530.0,106.28125,7567.9501953125,1462.547482808431,158.03399433427762,170.4375,164.08486384830871
1011,Other,3443.6499999999996,2232.0,233,113.54562558795861,168,93,572.8269045839642,760.7999877929688,471.79998779296875,16.79998779296875,305.5999755859375,,1,616.1999816894531,0.0,0.0008712325261290957,0.00025299682782196095,3,2.0,144.0,68.33333333333333,3.47998046875,323.679931640625,138.13997395833334,2,89.0,1302.0,695.5,134.2001953125,2042.7099658250809,1088.4550805687904,120.74444444444444,120.95548733691481,120.84996589067963
1013,Other,3302.12,2858.0,321,113.1792,152,74,549.2142325320848,680.5999755859375,386.79998779296875,308.20001220703125,300.3999938964844,,2,519.0500106811523,130.30001831054688,0.003139593388580427,0.0009507811310856138,5,4.0,638.0,257.2,6.7099609375,716.0599365234375,304.7039809703827,2,10.0,1611.0,810.5,18.050048828125,1384.3300476074219,701.1900482177734,114.81818181818181,132.8883572567783,123.85326953748006
1017,Other,8144.56,6773.0,893,163.6814903846154,187,79,827.924135354849,1057.4000244140625,595.0,910.3995971679688,919.599609375,,3,697.1333516438802,96.33333333333333,0.0013148828329738146,0.00016144307770755135,10,0.0,795.0,308.9,0.0,1053.10009765625,370.25806579589846,4,434.0,887.0,701.0,490.16998291015625,1180.7099609375,842.0249786376953,169.15402298850574,175.8978779840849,172.4003310497066
1021,Other,11923.26,9608.0,990,118.49862863411958,155,76,1275.5131859554085,1456.5999755859375,881.4000244140625,705.800048828125,779.6000366210938,,6,1334.8500010172527,83.30000813802083,0.027682887265454557,0.0023217548946726447,18,0.0,1946.0,363.6666666666667,0.0,1583.1099853515625,323.2326948377821,11,47.0,2553.0,637.3636363636364,18.449951171875,2466.1500244140625,698.1717792857777,118.07399267399268,138.01470588235293,125.64192196628261
1022,Other,5339.22,4326.0,327,94.39159292035399,135,64,623.4378078239389,812.4000244140625,487.6000061035156,347.79986572265625,346.79986572265625,,2,637.2500152587891,149.40000915527344,0.003098473882564754,0.0005803233211152105,4,0.0,2274.0,621.5,0.0,2898.8101074695587,803.2451294064522,2,202.0,1606.0,904.0,234.6300048828125,2000.9799194335938,1117.8049621582031,100.48275862068965,113.83074051026757,107.1567495654786
1026,Other,3585.9,2200.0,114,99.40941739824422,131,81,610.9008788575388,795.2000122070312,438.0,2.20001220703125,358.0,,1,615.8999938964844,0.0,0.0012589090428457783,0.0003510719883002254,1,12.0,12.0,12.0,17.730003356933594,17.730003356933594,17.730003356933594,2,9.0,897.0,453.0,15.669921875,1529.490053653717,772.5799877643585,100.42857142857143,108.78443113772455,104.60650128314799
1038,Other,13596.34,11281.0,1419,131.83497382198954,175,80,855.0964405351409,1380.199951171875,281.79998779296875,1234.2000427246094,1236.4000549316406,,4,988.2749862670898,269.0,0.003454204636331453,0.0002540540054405416,11,0.0,1466.0,483.72727272727275,0.0,2145.000039100647,640.3409126455134,6,44.0,3701.0,894.0,81.8603515625,4434.39990234375,1149.5868142445881,135.36279069767443,155.94090648307517,145.6480899911774
1069,Other,15077.670000000002,12286.0,1142,119.9629690857993,170,82,1035.7419904979088,1508.800048828125,511.0,1222.3994750976562,1203.7994995117188,,7,1271.0714372907366,139.91428920200892,0.010106308801328763,0.0006702831937115458,20,0.0,1173.0,264.4,0.0,1265.679931640625,300.5948842763901,7,32.0,5886.0,934.0,56.4697265625,6442.57980465889,1048.5257700851985,121.45614035087719,140.21843722563654,130.77037032514792
1074,Other,2818.35,1793.0,144,110.39554317548746,138,97,630.3758217474212,848.2000122070312,417.20001220703125,0,431.0,,1,632.7000122070312,0.0,0.0010715485293446715,0.00038020420790344406,5,0.0,195.0,97.8,0.0,349.68994140625,155.45798638910054,2,53.0,981.0,517.0,83.52001953125,1413.950019530952,748.735019531101,116.31568228105907,123.79629629629629,120.05598928867768
1125,Other,16522.81,17481.0,1326,127.16825844497147,168,86,1160.318890561997,1788.0,525.5999755859375,1819.0005493164062,1816.800537109375,,8,1001.9374961853027,191.22500610351562,0.009503123115587764,0.0005751517517654541,23,1.0,3645.0,395.3478260869565,0.490234375,3289.77001953125,388.1268903924071,8,33.0,3582.0,949.875,55.8798828125,3216.989990234375,850.3224983215332,127.76086956521739,156.6267539756782,138.7539668756317
